No,Nama,URL Asli,Likes,Done,Worker,Explanation
218,Patin Bakar,https://resepkoki.id/resep/resep-patin-bakar/,1513,No,,
219,Poke Bowl Salmon,https://resepkoki.id/resep/resep-poke-bowl-salmon/,1548,No,,
220,Gulai Ikan Mas,https://resepkoki.id/resep/resep-gulai-ikan-mas/,1026,No,,
221,Lumpia Vietnam,https://resepkoki.id/resep/resep-lumpia-vietnam/,1356,No,,
222,Rajungan Asam Manis,https://resepkoki.id/resep/resep-rajungan-asam-manis/,1534,No,,
223,Bakso Udang Goreng,https://resepkoki.id/resep/resep-bakso-udang-goreng/,1032,No,,
224,Salmon Mentai,https://resepkoki.id/resep/resep-salmon-mentai/,1265,Yes,Santa,
225,Pindang Bumbu Sarden,https://resepkoki.id/resep/resep-pindang-bumbu-sarden/,1245,No,,
226,Nasi Bakar Ikan Cakalang,https://resepkoki.id/resep/resep-nasi-bakar-ikan-cakalang/,1346,Yes,Garda,
227,Cumi Pete Pedas,https://resepkoki.id/resep/resep-cumi-pete-pedas/,1377,No,,
228,Sate Bandeng,https://resepkoki.id/resep/resep-sate-bandeng/,1637,No,,
229,Belut Goreng,https://resepkoki.id/resep/resep-belut-goreng/,1489,No,,
230,Kerang Hijau Balado,https://resepkoki.id/resep/resep-kerang-hijau-balado/,1051,No,,
231,Kerang Dara Saus Pedas,https://resepkoki.id/resep/resep-kerang-dara-saus-pedas/,1059,No,,
232,Siomay Ikan Bandung,https://resepkoki.id/resep/resep-siomay-ikan-bandung/,1313,No,,
233,Kerang Hijau Rebus,https://resepkoki.id/resep/resep-kerang-hijau-rebus/,1586,No,,
234,Sambal Tongkol,https://resepkoki.id/resep/resep-sambal-tongkol/,1344,No,,
235,Cilok Ikan,https://resepkoki.id/resep/resep-cilok-ikan/,1133,No,,
236,Jambal Roti Tumis,https://resepkoki.id/resep/resep-jambal-roti-tumis/,1138,No,,
237,Tongkol Suwir Lombok Ijo,https://resepkoki.id/resep/resep-tongkol-suwir-lombok-ijo/,1131,No,,
238,Tulang Jambal Cabe,https://resepkoki.id/resep/resep-tulang-jambal-cabe/,1132,No,,
239,Bola Bola Udang Roti,https://resepkoki.id/resep/resep-bola-bola-udang-roti/,1147,No,,
240,Udang Cabe Garam,https://resepkoki.id/resep/resep-udang-cabe-garam/,1149,Yes,Ara,
241,Rolade Ikan,https://resepkoki.id/resep/resep-rolade-ikan/,1186,No,,
242,Lele Goreng Kremes,https://resepkoki.id/resep/resep-lele-goreng-kremes/,1486,No,,
243,Udang Saus Inggris,https://resepkoki.id/resep/resep-udang-saus-inggris/,1483,No,,
244,Sate Kerang,https://resepkoki.id/resep/resep-sate-kerang/,1569,No,,
245,Gulai Kakap,https://resepkoki.id/resep/resep-gulai-kakap/,1052,No,,
246,Ikan Gabus Pucung,https://resepkoki.id/resep/resep-ikan-gabus-pucung/,1087,No,,
247,Hakau,https://resepkoki.id/resep/resep-hakau/,1097,No,,
248,Kepiting Saus Padang,https://resepkoki.id/resep/resep-kepiting-saus-padang/,1655,No,,
249,Cumi Goreng Mentega,https://resepkoki.id/resep/resep-cumi-goreng-mentega/,1701,Yes,Garda,
250,Bandeng Bakar,https://resepkoki.id/resep/resep-bandeng-bakar/,1053,No,,
251,Ikan Gurame Bakar Bumbu Bali,https://resepkoki.id/resep/resep-ikan-gurame-bakar-bumbu-bali/,1134,No,,
252,Sate Ikan Tongkol,https://resepkoki.id/resep/resep-sate-ikan-tongkol/,1067,No,,
